286,TED2008,Benjamin Zander,The transformative power of classical music
23,TED2006,Peter Gabriel,Fight injustice with raw video
889,TED2010,Chip Conley,Measuring what makes life worthwhile
1783,TEDxUdeM,Mohamed Hijri,A simple solution to the coming phosphorus crisis
2113,TEDGlobal 2014,Fred Swaniker,"The leaders who ruined Africa, and the generation who can fix it"
2389,Mission Blue II,Paul Greenberg,The four fish we're overeating -- and what to eat instead
1185,TEDSalon London Spring 2011,Jonathan Drori,The beautiful tricks of flowers
2048,TEDSalon Berlin 2014,Heather Barnett,What humans can learn from semi-intelligent slime
34,TED2006,Phil Borges,Photos of endangered cultures
518,TED2009,Matthew Childs,9 life lessons from rock climbing
950,TEDIndia 2009,Alwar Balasubramaniam,Art of substance and absence
1080,TEDGlobal 2010,Iain Hutchison,Saving faces: A facial surgeon's craft
1313,TEDxWomen 2011,Jane Fonda,Life's third act
2620,TEDxOslo,Roger Antonsen,Math is the hidden secret to understanding the world
1593,TEDGlobal 2012,Pankaj Ghemawat,"Actually, the world isn't flat"
417,TED2015,Cosmin Mihaiu,Physical therapy is boring -- play a game instead
1994,TED2014,Mark Ronson,How sampling transformed music
253,TED2008,Brian Cox,CERN's supercollider
442,TED2004,Woody Norris,Hypersonic sound and other inventions
2210,TEDxCambridge,Linda Hill,How to manage for collective creativity
2626,TEDSummit,Bettina Warburg,How the blockchain will radically transform the economy
2144,TED@BCG Berlin,Rainer Strack,The workforce crisis of 2030 -- and how to start solving it now
2741,TEDxSanQuentin,"Curtis ""Wall Street"" Carroll",How I learned to read -- and trade stocks -- in prison
447,TED2003,Natalie MacMaster,Fiddling in reel time
1762,TED2013,Rodney Brooks,Why we will rely on robots
1538,TEDSalon London Spring 2012,Pam Warhurst,How we can eat our landscapes
387,TEDxBoston,Nancy Frates,Meet the mom who started the Ice Bucket Challenge
2606,TEDSummit,Zeynep Tufekci,Machine intelligence makes human morals more important
493,TED Residency,Jeff Kirschner,This app makes it fun to pick up litter
2736,TEDxPerth,Natasha Hurley-Walker,How radio telescopes show us unseen galaxies
2461,TED2016,Alex Kipman,A futuristic vision of the age of holograms
1821,TEDGlobal 2013,Apollo Robbins,The art of misdirection
534,TED2003,Tom Shannon,Anti-gravity sculpture
478,TED2009,Eric Lewis,Piano jazz that rocks
201,TED2007,Lakshmi Pratury,The lost art of letter-writing
2138,TEDGlobal 2014,Joe Landolina,This gel can make you stop bleeding instantly
2020,TEDGlobal 2013,Uri Alon,Why science demands a leap into the unknown
2493,TED2016,Alice Rawsthorn,"Pirates, nurses and other rebel designers"
265,TEDGlobal 2007,Rokia Traore,"""Kounandi"""
375,TED2004,Virginia Postrel,On glamour
1942,TED Fellows Retreat 2013,Gabe Barcia-Colombo,My DNA vending machine
1948,TED2012,Steven Pinker and Rebecca Newberger Goldstein,The long reach of reason
1673,TEDxPortofSpain,Afra Raymond,Three myths about corruption
1807,TED2013,Saki Mafundikwa,Ingenuity and elegance in ancient African alphabets
1917,TEDWomen 2013,Maya Penn,"Meet a young entrepreneur, cartoonist, designer, activist ..."
2584,TEDSummit,Abigail Marsh,Why some people are more altruistic than others
231,TED1990,Frank Gehry,My days as a young rebel
2491,TED2016,Carrie Nugent,Adventures of an asteroid hunter
204,TED2007,Isabel Allende,Tales of passion
1767,TEDGlobal 2013,Manal al-Sharif,A Saudi woman who dared to drive
84,TED2007,James Nachtwey,My wish: Let my photographs bear witness
832,Eric Whitacre's Virtual Choir,Eric Whitacre,A choir as big as the Internet
1366,INK Conference,Shilo Shiv Suleman,Using tech to enable dreaming
1324,TEDxYYC,Kirk Sorensen,"Thorium, an alternative nuclear fuel"
1810,TEDGlobal 2013,Russell Foster,Why do we sleep?
196,RSA Animate,Ken Robinson,Changing education paradigms
1520,TEDGlobal 2012,Ramesh Raskar,Imaging at a trillion frames per second
766,TED2010,Blaise Agüera y Arcas,Augmented-reality maps
1555,TEDGlobal 2012,Robert Neuwirth,The power of the informal economy
657,TED2009,David Hanson,"Robots that ""show emotion"""
527,TED2009,Sarah Jones,A one-woman global village
954,Mission Blue Voyage,Rob Dunbar,Discovering ancient climates in oceans and ice
922,TED2010,Kevin Stone,The bio-future of joint replacement
1144,TED2011,Amit Sood,Building a museum of museums on the web
244,TEDGlobal 2011,Jarreth Merz,Filming democracy in Ghana
1570,TEDGlobal 2012,Shimon Schocken,The self-organizing computer course
158,TEDGlobal 2007,Vusi Mahlasela,"""Thula Mama"""
1364,TEDGlobal 2011,Neil MacGregor,2600 years of history in one object
2783,TEDxManhattanBeach,Wendy Troxel,Why school should start later for teens
2866,TEDxStanford,Jennifer Granick,How the US government spies on people who protest -- including you
403,TEDGlobal 2007,Franco Sacchi,"A tour of Nollywood, Nigeria's booming film industry"
801,TED2010,Sam Harris,Science can answer moral questions
1195,TEDGlobal 2011,Markus Fischer,A robot that flies like a bird
1410,TED2012,Chip Kidd,"Designing books is no laughing matter. OK, it is."
1731,TED Talks Education,Ramsey Musallam,3 rules to spark learning
2112,TED@IBM,Susan Etlinger,What do we do with all this big data? 
1218,TEDGlobal 2011,Lee Cronin,Making matter come alive
385,TED2005,Zach Kaplan + Keith Schacht,Toys and materials from the future
2703,TEDNYC,Megan Phelps-Roper,I grew up in the Westboro Baptist Church. Here's why I left
1661,TEDGlobal 2012,Lee Cronin,Print your own medicine
936,TEDxBoston 2010,Seth Priebatsch,The game layer on top of the world
2319,TED@NYC,Dustin Yellin,A journey through the mind of an artist
251,TED2005,Brian Greene,Making sense of string theory
2577,TEDSummit,James Veitch,The agony of trying to unsubscribe
2555,TED2016,Franz Freudenthal,A new way to heal hearts without surgery
1506,TEDxStanford,Chris Gerdes,"The future race car -- 150mph, and no driver"
1300,TEDxYYC,David Damberger,What happens when an NGO admits failure
2523,TEDxPSU,Sajay Samuel,How college loans exploit students for profit
931,New York State Senate,Diane J. Savino,The case for same-sex marriage
1990,TED2014,Mellody Hobson,Color blind or color brave?
2348,TEDGlobal>London,Michael Green,How we can make the world a better place by 2030
992,TEDGlobal 2010,Joseph Nye,Global power shifts
2291,TED2015,Chris Urmson,How a driverless car sees the road
2562,TEDSummit,Monica Araya,A small country with big ideas to get rid of fossil fuels
937,TEDGlobal 2010,David McCandless,The beauty of data visualization
1599,TEDGlobal 2012,Sanjay Pradhan,How open data is changing international aid
55,TED2006,Jehane Noujaim,My wish: A global day of film
341,TED2008,Jonathan Haidt,The moral roots of liberals and conservatives
640,TEDGlobal 2009,Jonathan Zittrain,The Web as random acts of kindness
2288,TEDWomen 2015,Gayle Tzemach Lemmon,Meet the women fighting on the front lines of an American war
1105,TEDxAmsterdam,Claron McFadden,Singing the primal mystery
2810,TEDNYC,Sinéad Burke,Why design should include everyone
30,TEDGlobal 2005,Steven Levitt,Surprising stats about child carseats
718,TEDGlobal 2009,Steven  Cowley,Fusion is energy's future
172,TED2007,John Maeda,Designing for simplicity
2106,TEDGlobal 2014,Glenn Greenwald,Why privacy matters
661,TEDxKC,John Gerzema,The post-crisis consumer
2642,TEDxGhent,Veerle Provoost,Do kids think of sperm donors as family?
1650,TEDxBeaconStreet,Colin Stokes,How movies teach manhood
239,TED2007,David Hoffman,Sputnik mania
433,Taste3 2008,Peter Reinhart,The art and craft of bread
2059,TED@NYC,Clint Smith,The danger of silence
694,TEDGlobal 2009,Tom Wujec,Learn to use the 13th-century astrolabe
1557,TEDGlobal 2012,Vikram Patel,Mental health for all by involving all
480,TED2003,Don Norman,3 ways good design makes you happy
2249,TED2015,Anand Varma,The first 21 days of a bee’s life
589,TED2009,Daniel Libeskind,17 words of architectural inspiration
2650,TEDWomen 2016,Erika Gregory,The world doesn't need more nuclear weapons
2780,TED2017,Shah Rukh Khan,"Thoughts on humanity, fame and love"
